event_id,n_documents,n_filings,n_amendment_filings,n_initial_filings,has_amendment,forms,form_families,primary_form_family,entity_names,primary_entity,ciks,primary_cik,tickers,first_file_date,last_file_date,event_span_days,n_exhibits,n_primary_docs,forms_list,has_to_t,has_to_i,has_14d9,has_file_num,mvp_event_type_provisional,in_mvp_core,in_mvp_preferred,in_mvp_stretch,amendment_eval_band
005-86871,29,9,7,2,True,['SC TO-I' 'SC TO-I/A' 'SC TO-T/A'],['issuer_tender' 'third_party_tender'],mixed,"['Lightstone Value Plus Real Estate Investment Trust V, Inc.'
 'Lightstone Value Plus REIT V, Inc.']","Lightstone Value Plus Real Estate Investment Trust V, Inc.",['0001387061' '0001659587'],0001387061,[],2020-01-14,2025-12-31,2178,20,9,"['SC TO-I', 'SC TO-I/A', 'SC TO-T/A']",True,True,False,True,tender_offer,True,False,False,complex
005-86956,21,8,6,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Manchester United plc'],Manchester United plc,['0001549107' '0001998369'],0001549107,['MANU'],2024-01-17,2024-02-20,34,13,8,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-87002,26,8,6,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Regulus Therapeutics Inc.'],Regulus Therapeutics Inc.,['0001114448' '0001505512'],0001114448,['RGLS'],2025-05-27,2025-06-25,29,18,8,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-87033,55,15,12,3,True,['SC 14D9' 'SC 14D9/A' 'SC TO-I' 'SC TO-I/A' 'SC TO-T' 'SC TO-T/A'],['issuer_tender' 'target_recommendation' 'third_party_tender'],mixed,"['INTERCEPT PHARMACEUTICALS, INC.']","INTERCEPT PHARMACEUTICALS, INC.",['0001270073' '0001994965'],0001270073,[],2021-08-16,2023-11-08,814,41,14,"['SC 14D9', 'SC 14D9/A', 'SC TO-I', 'SC TO-I/A', 'SC TO-T', 'SC TO-T/A']",True,True,True,True,tender_offer,True,True,False,complex
005-87209,25,13,11,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['STEMLINE THERAPEUTICS INC'],STEMLINE THERAPEUTICS INC,['0001264587' '0001810515'],0001264587,[],2020-05-12,2020-06-10,29,12,13,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-87285,178,41,39,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['STRATASYS LTD.'],STRATASYS LTD.,['0001517396' '0001643303'],0001517396,['SSYS'],2023-05-25,2023-08-01,68,137,41,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-87331,23,8,6,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['Benefytt Technologies, Inc.']","Benefytt Technologies, Inc.",['0001561387' '0001817453'],0001561387,[],2020-07-24,2020-08-21,28,15,8,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-87366,34,10,6,4,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['TETRAPHASE PHARMACEUTICALS INC'],TETRAPHASE PHARMACEUTICALS INC,['0000920465' '0001373707' '0001461993'],0000920465,[],2020-06-12,2020-07-29,47,24,10,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-87389,92,32,16,16,True,['SC 14D9' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['CIM REAL ESTATE FINANCE TRUST, INC.']","CIM REAL ESTATE FINANCE TRUST, INC.",['0001498547' '0001726993'],0001498547,['CMRF'],2020-02-26,2025-03-28,1857,60,32,"['SC 14D9', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-87403,9,3,1,2,True,['SC 14D9' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['Strategic Realty Trust, Inc.']","Strategic Realty Trust, Inc.",['0001446371' '0001870412'],0001446371,['SGIC'],2022-10-21,2022-12-06,46,6,3,"['SC 14D9', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-87404,8,2,1,1,True,['SC TO-T' 'SC TO-T/A'],['third_party_tender'],third_party_tender,"['KBS Real Estate Investment Trust II, Inc.']","KBS Real Estate Investment Trust II, Inc.",['0001411059' '0001659587'],0001411059,[],2020-02-03,2020-03-10,36,6,2,"['SC TO-T', 'SC TO-T/A']",True,False,False,True,tender_offer,True,False,False,simple
005-87424,46,20,16,4,True,"['SC 13E3' 'SC 13E3/A' 'SC 14D9' 'SC TO-I' 'SC TO-I/A' 'SC TO-T'
 'SC TO-T/A']","['going_private' 'issuer_tender' 'target_recommendation'
 'third_party_tender']",mixed,['Brookfield Property Partners L.P.'],Brookfield Property Partners L.P.,['0001001085' '0001545772'],0001001085,['BPYPM' 'BPYPN' 'BPYPO' 'BPYPP'],2020-07-06,2021-07-26,385,26,20,"['SC 13E3', 'SC 13E3/A', 'SC 14D9', 'SC TO-I', 'SC TO-I/A', 'SC TO-T', 'SC TO-T/A']",True,True,True,True,tender_offer,True,True,False,complex
005-87446,40,16,11,5,True,['SC 14D9' 'SC 14D9/A' 'SC TO-I' 'SC TO-I/A' 'SC TO-T' 'SC TO-T/A'],['issuer_tender' 'target_recommendation' 'third_party_tender'],mixed,['QIWI'],QIWI,['0001561566' '0001936575'],0001561566,[],2022-07-07,2022-12-23,169,24,16,"['SC 14D9', 'SC 14D9/A', 'SC TO-I', 'SC TO-I/A', 'SC TO-T', 'SC TO-T/A']",True,True,True,True,tender_offer,True,True,False,complex
005-87472,26,14,12,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['PORTOLA PHARMACEUTICALS INC'],PORTOLA PHARMACEUTICALS INC,['0000899866' '0001269021'],0000899866,[],2020-05-27,2020-07-02,36,12,14,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-87481,21,8,6,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['Epizyme, Inc.']","Epizyme, Inc.",['0001370483' '0001571498'],0001370483,[],2022-07-12,2022-08-12,31,13,8,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-87526,78,28,26,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['bluebird bio, Inc.']","bluebird bio, Inc.",['0001293971' '0001873422'],0001293971,['BLUE'],2025-03-07,2025-05-30,84,50,28,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-87623,20,10,8,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['FIVE PRIME THERAPEUTICS, INC.']","FIVE PRIME THERAPEUTICS, INC.",['0000318154' '0001175505'],0000318154,[],2021-03-18,2021-04-16,29,10,10,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-87630,33,16,11,5,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['ACCELERON PHARMA INC'],ACCELERON PHARMA INC,['0000064978' '0001280600' '0001633313' '0001700574' '0001839209'],0000064978,[],2021-10-12,2021-11-22,41,17,16,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-87690,27,14,12,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['CHIMERIX INC'],CHIMERIX INC,['0001117480' '0001232524'],0001117480,['CMRX'],2025-03-21,2025-04-18,28,13,14,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-87720,31,10,8,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Houghton Mifflin Harcourt Co'],Houghton Mifflin Harcourt Co,['0001580156' '0001915076'],0001580156,[],2022-03-07,2022-04-07,31,21,10,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-87762,37,8,4,4,True,['SC TO-I' 'SC TO-I/A' 'SC TO-T/A'],['issuer_tender' 'third_party_tender'],mixed,['FSI Low Beta Absolute Return Fund'],FSI Low Beta Absolute Return Fund,['0001527413'],0001527413,[],2020-03-02,2021-05-21,445,29,8,"['SC TO-I', 'SC TO-I/A', 'SC TO-T/A']",True,True,False,True,tender_offer,True,False,False,simple
005-87848,29,16,14,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['BIOTELEMETRY, INC.']","BIOTELEMETRY, INC.",['0000313216' '0001574774'],0000313216,[],2020-12-23,2021-02-09,48,13,16,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-87866,21,9,7,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Dicerna Pharmaceuticals Inc'],Dicerna Pharmaceuticals Inc,['0000353278' '0001399529'],0000353278,[],2021-11-24,2021-12-28,34,12,9,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-87872,15,5,3,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Evoke Pharma Inc'],Evoke Pharma Inc,['0001403708' '0002093432'],0001403708,['EVOK'],2025-11-17,2025-12-17,30,10,5,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-87875,15,6,4,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['New Home Co Inc.'],New Home Co Inc.,['0001574596' '0001784683'],0001574596,[],2021-08-10,2021-09-08,29,9,6,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-87909,16,7,5,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['POTBELLY CORP'],POTBELLY CORP,['0001195734' '0002086808'],0001195734,['PBPB'],2025-09-23,2025-10-23,30,9,7,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-87950,26,13,11,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['CymaBay Therapeutics, Inc.']","CymaBay Therapeutics, Inc.",['0000882095' '0001042074'],0000882095,[],2024-02-23,2024-03-22,28,13,13,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-87957,19,11,9,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['HD Supply Holdings, Inc.']","HD Supply Holdings, Inc.",['0000354950' '0001573097'],0000354950,[],2020-11-24,2020-12-28,34,8,11,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-87971,16,9,7,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['ENETI INC.'],ENETI INC.,['0001587264' '0001978867'],0001587264,[],2023-11-07,2023-12-18,41,7,9,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-88023,38,14,12,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['Revance Therapeutics, Inc.']","Revance Therapeutics, Inc.",['0001479290' '0002033289'],0001479290,['RVNC'],2024-12-12,2025-02-05,55,24,14,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-88031,24,11,9,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Flexion Therapeutics Inc'],Flexion Therapeutics Inc,['0001396814' '0001419600'],0001396814,[],2021-10-22,2021-11-19,28,13,11,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-88033,19,6,4,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['CONCERT PHARMACEUTICALS, INC.']","CONCERT PHARMACEUTICALS, INC.",['0001197089' '0001367920'],0001197089,[],2023-02-02,2023-03-06,32,13,6,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-88035,29,6,4,2,True,['SC 14D9' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['AENZA S.A.A.'],AENZA S.A.A.,['0001572621' '0001807206'],0001572621,[],2021-06-16,2021-08-06,51,23,6,"['SC 14D9', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-88042,37,11,8,3,True,['SC 14D9' 'SC 14D9/A' 'SC TO-I' 'SC TO-I/A' 'SC TO-T' 'SC TO-T/A'],['issuer_tender' 'target_recommendation' 'third_party_tender'],mixed,"['Societal CDMO, Inc.']","Societal CDMO, Inc.",['0001588972' '0001635467'],0001588972,[],2022-06-01,2024-04-08,677,26,11,"['SC 14D9', 'SC 14D9/A', 'SC TO-I', 'SC TO-I/A', 'SC TO-T', 'SC TO-T/A']",True,True,True,True,tender_offer,True,True,False,complex
005-88071,40,12,10,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['APPLIED GENETIC TECHNOLOGIES CORP'],APPLIED GENETIC TECHNOLOGIES CORP,['0001273636' '0001725042'],0001273636,[],2022-10-26,2022-12-01,36,28,12,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-88076,19,8,6,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['CASTLIGHT HEALTH, INC.']","CASTLIGHT HEALTH, INC.",['0001433714' '0001903231'],0001433714,[],2022-01-19,2022-02-17,29,11,8,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-88106,22,10,6,4,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Adamas Pharmaceuticals Inc'],Adamas Pharmaceuticals Inc,['0001328143' '0001356576'],0001328143,[],2021-10-12,2021-11-24,43,12,10,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-88186,28,7,5,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Resonant Inc'],Resonant Inc,['0001446591' '0001579910'],0001446591,[],2022-02-28,2022-03-28,28,21,7,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-88253,19,9,7,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Pfenex Inc.'],Pfenex Inc.,['0000886163' '0001478121'],0000886163,[],2020-08-31,2020-09-30,30,10,9,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-88266,15,5,3,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['Adverum Biotechnologies, Inc.']","Adverum Biotechnologies, Inc.",['0000059478' '0001501756'],0000059478,['ADVM'],2025-11-07,2025-12-09,32,10,5,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-88269,14,6,4,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['MARINUS PHARMACEUTICALS, INC.']","MARINUS PHARMACEUTICALS, INC.",['0001267813' '0002050522'],0001267813,['MRNS'],2025-01-08,2025-02-07,30,8,6,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-88275,34,12,9,3,True,['SC 14D9' 'SC 14D9/A' 'SC TO-I' 'SC TO-I/A' 'SC TO-T' 'SC TO-T/A'],['issuer_tender' 'target_recommendation' 'third_party_tender'],mixed,"['Sage Therapeutics, Inc.']","Sage Therapeutics, Inc.",['0001356576' '0001597553'],0001356576,['SAGE'],2024-01-23,2025-07-31,555,22,12,"['SC 14D9', 'SC 14D9/A', 'SC TO-I', 'SC TO-I/A', 'SC TO-T', 'SC TO-T/A']",True,True,True,True,tender_offer,True,True,False,complex
005-88347,16,7,5,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['Dermira, Inc.']","Dermira, Inc.",['0000059478' '0001557883'],0000059478,[],2020-01-22,2020-02-20,29,9,7,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-88373,24,10,8,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['CDK Global, Inc.']","CDK Global, Inc.",['0001609702' '0001922838'],0001609702,[],2022-04-22,2022-07-06,75,14,10,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-88599,23,9,7,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Care.com Inc'],Care.com Inc,['0000891103' '0001412270'],0000891103,[],2020-01-13,2020-02-11,29,14,9,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-88608,32,11,9,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['Sky Solar Holdings, Ltd.']","Sky Solar Holdings, Ltd.",['0001594124' '0001815886'],0001594124,[],2020-07-06,2020-10-13,99,21,11,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-88610,29,15,12,3,True,['SC 13E3' 'SC 13E3/A' 'SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['going_private' 'target_recommendation' 'third_party_tender'],mixed,['Jumei International Holding Ltd'],Jumei International Holding Ltd,['0001597680' '0001631969'],0001597680,[],2020-02-26,2020-04-15,49,14,15,"['SC 13E3', 'SC 13E3/A', 'SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-88619,16,8,6,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['Diplomat Pharmacy, Inc.']","Diplomat Pharmacy, Inc.",['0000731766' '0001610092'],0000731766,[],2020-01-09,2020-02-07,29,8,8,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-88663,89,53,48,5,True,"['SC 13E3' 'SC 13E3/A' 'SC 14D9' 'SC 14D9/A' 'SC TO-I' 'SC TO-I/A'
 'SC TO-T' 'SC TO-T/A']","['going_private' 'issuer_tender' 'target_recommendation'
 'third_party_tender']",mixed,['Santander Consumer USA Holdings Inc.'],Santander Consumer USA Holdings Inc.,['0000811830' '0001074034' '0001580608'],0000811830,[],2020-01-30,2022-01-28,729,36,53,"['SC 13E3', 'SC 13E3/A', 'SC 14D9', 'SC 14D9/A', 'SC TO-I', 'SC TO-I/A', 'SC TO-T', 'SC TO-T/A']",True,True,True,True,tender_offer,True,True,False,complex
005-88684,30,14,12,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['Michaels Companies, Inc.']","Michaels Companies, Inc.",['0001593936' '0001849949'],0001593936,[],2021-03-16,2021-04-15,30,16,14,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-88707,16,5,3,2,True,['SC 14D9' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Atento S.A.'],Atento S.A.,['0001606457' '0001736804'],0001606457,[],2022-11-18,2023-01-11,54,11,5,"['SC 14D9', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-88806,18,5,3,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['Cidara Therapeutics, Inc.']","Cidara Therapeutics, Inc.",['0000310158' '0001610618'],0000310158,['CDTX'],2025-12-05,2025-12-19,14,13,5,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-88827,20,8,6,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Blueprint Medicines Corp'],Blueprint Medicines Corp,['0001121404' '0001597264'],0001121404,['BPMC'],2025-06-17,2025-07-18,31,12,8,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-88896,18,8,6,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['ALPINE IMMUNE SCIENCES, INC.']","ALPINE IMMUNE SCIENCES, INC.",['0000875320' '0001626199'],0000875320,[],2024-04-22,2024-05-20,28,10,8,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-88963,16,6,4,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Horizon Global Corp'],Horizon Global Corp,['0001637655' '0001960811'],0001637655,[],2023-01-10,2023-02-08,29,9,6,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-88971,28,12,10,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['Zynerba Pharmaceuticals, Inc.']","Zynerba Pharmaceuticals, Inc.",['0001621443' '0001802665'],0001621443,[],2023-08-28,2023-10-11,44,16,12,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-88972,32,18,15,3,True,['SC 13E3' 'SC 13E3/A' 'SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['going_private' 'target_recommendation' 'third_party_tender'],mixed,"['Aimmune Therapeutics, Inc.']","Aimmune Therapeutics, Inc.",['0001631650' '0001803539'],0001631650,[],2020-09-14,2020-10-13,29,14,18,"['SC 13E3', 'SC 13E3/A', 'SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-88982,14,10,8,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['Hostess Brands, Inc.']","Hostess Brands, Inc.",['0000091419' '0001644406'],0000091419,[],2023-10-10,2023-11-07,28,4,10,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-89169,23,9,7,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['MyoKardia, Inc.']","MyoKardia, Inc.",['0000014272' '0001552451'],0000014272,[],2020-10-19,2020-11-17,29,14,9,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-89253,49,19,15,4,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Euronav NV' 'CMB.TECH NV'],Euronav NV,['0001604481' '0001910283'],0001604481,['CMBT'],2024-02-14,2024-11-22,282,30,19,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-89329,16,5,3,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['INSTRUCTURE INC'],INSTRUCTURE INC,['0001355754' '0001803476'],0001355754,[],2020-02-24,2020-03-23,28,11,5,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-89510,20,10,8,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Merus N.V.'],Merus N.V.,['0001434265' '0001651311'],0001434265,['MRUS'],2025-10-21,2025-12-30,70,10,10,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
