event_id,n_documents,n_filings,n_amendment_filings,n_initial_filings,has_amendment,forms,form_families,primary_form_family,entity_names,primary_entity,ciks,primary_cik,tickers,first_file_date,last_file_date,event_span_days,n_exhibits,n_primary_docs,forms_list,has_to_t,has_to_i,has_14d9,has_file_num,mvp_event_type_provisional,in_mvp_core,in_mvp_preferred,in_mvp_stretch,amendment_eval_band
005-61925,51,21,19,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['CHEMBIO DIAGNOSTICS, INC.']","CHEMBIO DIAGNOSTICS, INC.",['0001092662' '0001964166'],0001092662,[],2023-02-14,2023-04-27,72,30,21,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-62061,8,3,1,2,True,['SC 14D9' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['Nuo Therapeutics, Inc.']","Nuo Therapeutics, Inc.",['0001091596' '0001870412'],0001091596,['AURX'],2022-01-21,2022-03-21,59,5,3,"['SC 14D9', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-62369,28,16,13,3,True,['SC 13E3' 'SC 13E3/A' 'SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['going_private' 'target_recommendation' 'third_party_tender'],mixed,['AlerisLife Inc.'],AlerisLife Inc.,['0001159281' '0001686016'],0001159281,[],2023-02-17,2023-03-20,31,12,16,"['SC 13E3', 'SC 13E3/A', 'SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-78334,27,12,8,4,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['GLOBALSCAPE INC'],GLOBALSCAPE INC,['0001112920' '0001818947'],0001112920,[],2020-07-20,2020-08-28,39,15,12,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-79091,22,9,7,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['BIOSPECIFICS TECHNOLOGIES CORP'],BIOSPECIFICS TECHNOLOGIES CORP,['0000875622' '0001593034'],0000875622,[],2020-11-02,2020-12-02,30,13,9,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-79318,22,7,3,4,True,['SC 14D9' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['SINOVAC BIOTECH LTD'],SINOVAC BIOTECH LTD,['0001084201' '0001870412'],0001084201,['SVA'],2023-08-25,2024-03-18,206,15,7,"['SC 14D9', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-79927,27,10,8,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['MOMENTA PHARMACEUTICALS INC'],MOMENTA PHARMACEUTICALS INC,['0000200406' '0001235010'],0000200406,[],2020-09-02,2020-10-01,29,17,10,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-80234,133,56,54,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['BEACON ROOFING SUPPLY INC'],BEACON ROOFING SUPPLY INC,['0001124941' '0001236275'],0001124941,['BECN'],2025-01-27,2025-04-29,92,77,56,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-80461,24,8,3,5,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Industrias Bachoco S.A.B. de C.V.'],Industrias Bachoco S.A.B. de C.V.,['0001044896' '0001919779'],0001044896,[],2022-03-25,2022-11-09,229,16,8,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-80508,21,8,5,3,True,['SC 13E3' 'SC 13E3/A' 'SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['going_private' 'target_recommendation' 'third_party_tender'],mixed,['BANCO ITAU CHILE'],BANCO ITAU CHILE,['0001132597' '0001276671'],0001132597,[],2023-06-06,2023-07-06,30,13,8,"['SC 13E3', 'SC 13E3/A', 'SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-80520,34,6,4,2,True,['SC TO-I' 'SC TO-I/A' 'SC TO-T' 'SC TO-T/A'],['issuer_tender' 'third_party_tender'],mixed,['MARCHEX INC'],MARCHEX INC,['0001224133' '0001666682'],0001224133,['MCHX'],2020-08-31,2020-10-08,38,28,6,"['SC TO-I', 'SC TO-I/A', 'SC TO-T', 'SC TO-T/A']",True,True,False,True,tender_offer,True,False,False,simple
005-81127,18,7,5,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['Ruths Hospitality Group, Inc.']","Ruths Hospitality Group, Inc.",['0000940944' '0001324272'],0000940944,[],2023-05-16,2023-06-14,29,11,7,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-81724,33,13,8,5,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['General Finance CORP'],General Finance CORP,['0001067701' '0001342287'],0001067701,[],2021-04-16,2021-05-24,38,20,13,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-82531,48,24,20,4,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['H&E Equipment Services, Inc.']","H&E Equipment Services, Inc.",['0001067701' '0001339605' '0001364479'],0001067701,['HEES'],2025-01-28,2025-05-30,122,24,24,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
