corporate_action_type,field,coverage_pct,n_sample_events,relevance_assumption,evidence_type
going_private,maturity_date,14.29,7,relevant,inferred_regex_presence
going_private,corporate_action_type,100.0,7,relevant,observed_metadata
going_private,event_subtype,14.29,7,relevant,inferred_regex_presence
going_private,effective_date,0.0,7,relevant,inferred_regex_presence
going_private,record_date,57.14,7,relevant,inferred_regex_presence
going_private,ex_date,0.0,7,relevant,inferred_regex_presence
going_private,payment_date,14.29,7,relevant,inferred_regex_presence
going_private,settlement_date,71.43,7,relevant,inferred_regex_presence
going_private,old_security_description,0.0,7,relevant,inferred_regex_presence
going_private,old_security_isin,0.0,7,relevant,inferred_regex_presence
going_private,new_security_description,28.57,7,relevant,inferred_regex_presence
going_private,new_security_isin,0.0,7,relevant,inferred_regex_presence
going_private,conversion_ratio,57.14,7,relevant,inferred_regex_presence
going_private,conversion_price,0.0,7,relevant,inferred_regex_presence
going_private,redemption_amount,28.57,7,relevant,inferred_regex_presence
going_private,call_price,0.0,7,relevant,inferred_regex_presence
going_private,election_required,28.57,7,relevant,inferred_regex_presence
going_private,available_options,0.0,7,relevant,inferred_regex_presence
going_private,default_option,0.0,7,relevant,inferred_regex_presence
going_private,election_deadline,28.57,7,relevant,inferred_regex_presence
going_private,response_deadline,0.0,7,relevant,inferred_regex_presence
going_private,cancellation_reason,0.0,7,relevant,inferred_regex_presence
going_private,eligible_quantity,0.0,7,relevant,internal_only
going_private,position_quantity,0.0,7,relevant,internal_only
going_private,principal_amount,14.29,7,relevant,inferred_regex_presence
going_private,interest_amount,14.29,7,relevant,inferred_regex_presence
going_private,cash_amount,71.43,7,relevant,inferred_regex_presence
going_private,debit_credit_indicator,0.0,7,relevant,internal_only
merger_proxy,notification_family,83.33,6,relevant,inferred_regex_presence
merger_proxy,notification_type,0.0,6,relevant,inferred_regex_presence
merger_proxy,notification_status,100.0,6,relevant,inferred_regex_presence
merger_proxy,processing_status,0.0,6,relevant,internal_only
merger_proxy,mandatory_voluntary_indicator,33.33,6,relevant,inferred_regex_presence
merger_proxy,security_description,100.0,6,relevant,inferred_regex_presence
merger_proxy,isin,0.0,6,relevant,inferred_regex_presence
merger_proxy,cusip,0.0,6,relevant,inferred_regex_presence
merger_proxy,ticker,100.0,6,relevant,inferred_regex_presence
merger_proxy,currency,83.33,6,relevant,inferred_regex_presence
merger_proxy,coupon_rate,50.0,6,relevant,inferred_regex_presence
merger_proxy,maturity_date,50.0,6,relevant,inferred_regex_presence
merger_proxy,corporate_action_type,100.0,6,relevant,observed_metadata
merger_proxy,event_subtype,83.33,6,relevant,inferred_regex_presence
merger_proxy,effective_date,100.0,6,relevant,inferred_regex_presence
merger_proxy,record_date,100.0,6,relevant,inferred_regex_presence
merger_proxy,ex_date,0.0,6,relevant,inferred_regex_presence
merger_proxy,payment_date,100.0,6,relevant,inferred_regex_presence
merger_proxy,settlement_date,100.0,6,relevant,inferred_regex_presence
merger_proxy,old_security_description,0.0,6,relevant,inferred_regex_presence
merger_proxy,old_security_isin,0.0,6,relevant,inferred_regex_presence
merger_proxy,new_security_description,100.0,6,relevant,inferred_regex_presence
merger_proxy,new_security_isin,0.0,6,relevant,inferred_regex_presence
merger_proxy,conversion_ratio,83.33,6,relevant,inferred_regex_presence
merger_proxy,conversion_price,0.0,6,relevant,inferred_regex_presence
merger_proxy,redemption_amount,100.0,6,relevant,inferred_regex_presence
merger_proxy,call_price,16.67,6,relevant,inferred_regex_presence
merger_proxy,election_required,100.0,6,relevant,inferred_regex_presence
merger_proxy,available_options,16.67,6,relevant,inferred_regex_presence
merger_proxy,default_option,0.0,6,relevant,inferred_regex_presence
merger_proxy,election_deadline,100.0,6,relevant,inferred_regex_presence
merger_proxy,response_deadline,66.67,6,relevant,inferred_regex_presence
merger_proxy,cancellation_reason,100.0,6,relevant,inferred_regex_presence
merger_proxy,eligible_quantity,0.0,6,relevant,internal_only
merger_proxy,position_quantity,0.0,6,relevant,internal_only
merger_proxy,principal_amount,50.0,6,relevant,inferred_regex_presence
merger_proxy,interest_amount,0.0,6,relevant,inferred_regex_presence
merger_proxy,cash_amount,100.0,6,relevant,inferred_regex_presence
merger_proxy,debit_credit_indicator,0.0,6,relevant,internal_only
mixed,notification_family,88.24,17,relevant,inferred_regex_presence
mixed,notification_type,52.94,17,relevant,inferred_regex_presence
mixed,notification_status,94.12,17,relevant,inferred_regex_presence
mixed,processing_status,0.0,17,relevant,internal_only
mixed,mandatory_voluntary_indicator,47.06,17,relevant,inferred_regex_presence
mixed,security_description,100.0,17,relevant,inferred_regex_presence
mixed,isin,0.0,17,relevant,inferred_regex_presence
mixed,cusip,52.94,17,relevant,inferred_regex_presence
mixed,ticker,82.35,17,relevant,inferred_regex_presence
mixed,currency,58.82,17,relevant,inferred_regex_presence
mixed,coupon_rate,41.18,17,relevant,inferred_regex_presence
mixed,maturity_date,35.29,17,relevant,inferred_regex_presence
mixed,corporate_action_type,100.0,17,relevant,observed_metadata
mixed,event_subtype,47.06,17,relevant,inferred_regex_presence
mixed,effective_date,47.06,17,relevant,inferred_regex_presence
mixed,record_date,58.82,17,relevant,inferred_regex_presence
mixed,ex_date,0.0,17,relevant,inferred_regex_presence
mixed,payment_date,52.94,17,relevant,inferred_regex_presence
mixed,settlement_date,58.82,17,relevant,inferred_regex_presence
mixed,old_security_description,11.76,17,relevant,inferred_regex_presence
mixed,old_security_isin,0.0,17,relevant,inferred_regex_presence
mixed,new_security_description,58.82,17,relevant,inferred_regex_presence
mixed,new_security_isin,0.0,17,relevant,inferred_regex_presence
mixed,conversion_ratio,76.47,17,relevant,inferred_regex_presence
mixed,conversion_price,17.65,17,relevant,inferred_regex_presence
mixed,redemption_amount,47.06,17,relevant,inferred_regex_presence
mixed,call_price,11.76,17,relevant,inferred_regex_presence
mixed,election_required,58.82,17,relevant,inferred_regex_presence
mixed,available_options,17.65,17,relevant,inferred_regex_presence
mixed,default_option,0.0,17,relevant,inferred_regex_presence
