event_id,n_documents,n_filings,n_amendment_filings,n_initial_filings,has_amendment,forms,form_families,primary_form_family,entity_names,primary_entity,ciks,primary_cik,tickers,first_file_date,last_file_date,event_span_days,n_exhibits,n_primary_docs
000-23550,16,5,0,5,False,['425'],['business_combination_comms'],business_combination_comms,['FENTURA FINANCIAL INC'],FENTURA FINANCIAL INC,['0000803164' '0000919865'],0000803164,[],2024-07-25,2024-07-25,0,11,5
000-23575,1,1,0,1,False,['DEFM14A'],['merger_proxy'],merger_proxy,['COMMUNITY WEST BANCSHARES /'],COMMUNITY WEST BANCSHARES /,['0001051343'],0001051343,[],2024-01-02,2024-01-02,0,0,1
000-23599,1,1,0,1,False,['8-K'],['current_report'],current_report,['MERCURY SYSTEMS INC'],MERCURY SYSTEMS INC,['0001049521'],0001049521,['MRCY'],2021-12-29,2021-12-29,0,1,0
000-23621,17,12,0,12,False,['8-K'],['current_report'],current_report,['MKS INSTRUMENTS INC' 'MKS INC'],MKS INSTRUMENTS INC,['0001049502'],0001049502,['MKSI'],2021-05-10,2025-11-05,1640,14,3
000-23661,10,8,0,8,False,['8-K'],['current_report'],current_report,"['ROCKWELL MEDICAL, INC.']","ROCKWELL MEDICAL, INC.",['0001041024'],0001041024,['RMTI'],2020-01-15,2022-06-02,869,9,1
000-23695,14,8,0,8,False,['425' 'DEFM14A'],['business_combination_comms' 'merger_proxy'],mixed,['BROOKLINE BANCORP INC'],BROOKLINE BANCORP INC,['0001049782' '0001108134'],0001049782,['BRKL'],2024-12-16,2025-05-12,147,6,8
000-23837,4,3,0,3,False,['8-K' 'DEFM14A' 'PREM14A'],['current_report' 'merger_proxy'],mixed,['SURMODICS INC'],SURMODICS INC,['0000924717'],0000924717,['SRDX'],2021-07-06,2024-07-08,1098,2,2
000-23877,18,16,0,16,False,['425'],['business_combination_comms'],business_combination_comms,['HERITAGE COMMERCE CORP'],HERITAGE COMMERCE CORP,['0000354647' '0001053352'],0000354647,['HTBK'],2025-12-17,2025-12-29,12,2,16
000-23909,11,11,0,11,False,['425'],['business_combination_comms'],business_combination_comms,['PINNACLE BANKSHARES CORP'],PINNACLE BANKSHARES CORP,['0001031233'],0001031233,[],2020-01-21,2020-10-19,272,0,11
000-23985,2,2,0,2,False,['8-K'],['current_report'],current_report,['NVIDIA CORP'],NVIDIA CORP,['0001045810'],0001045810,['NVDA'],2020-02-13,2020-09-14,214,2,0
000-24085,3,3,0,3,False,['8-K'],['current_report'],current_report,['AXT INC'],AXT INC,['0001051627'],0001051627,['AXTI'],2022-06-17,2022-08-02,46,3,0
000-24100,14,9,0,9,False,['425' 'DEFM14A'],['business_combination_comms' 'merger_proxy'],mixed,['HMN FINANCIAL INC'],HMN FINANCIAL INC,['0000903419' '0000921183'],0000903419,['HMNF'],2024-05-15,2024-09-03,111,5,9
000-24206,37,27,0,27,False,['8-K'],['current_report'],current_report,"['PENN NATIONAL GAMING INC' 'PENN Entertainment, Inc.']",PENN NATIONAL GAMING INC,['0000921738'],0000921738,['PENN'],2020-05-14,2025-11-06,2002,34,3
000-24248,3,2,0,2,False,['8-K'],['current_report'],current_report,['Genasys Inc.'],Genasys Inc.,['0000924383'],0000924383,['GNSS'],2023-09-28,2024-05-14,229,3,0
000-24249,10,3,0,3,False,['8-K'],['current_report'],current_report,"['INTERPACE BIOSCIENCES, INC.']","INTERPACE BIOSCIENCES, INC.",['0001054102'],0001054102,['IDXG'],2020-01-14,2024-10-15,1736,7,3
000-24260,36,35,0,35,False,['425' 'DEFM14A' 'PREM14A'],['business_combination_comms' 'merger_proxy'],mixed,['AMEDISYS INC'],AMEDISYS INC,['0000896262' '0001014739'],0000896262,['AMED'],2023-05-03,2023-08-10,99,1,35
000-24431,2,1,0,1,False,['8-K'],['current_report'],current_report,"['Artemis Therapeutics, Inc.']","Artemis Therapeutics, Inc.",['0001062128'],0001062128,['MNKA'],2022-07-05,2022-07-05,0,1,1
000-24435,82,49,0,49,False,['8-K'],['current_report'],current_report,['MICROSTRATEGY Inc'],MICROSTRATEGY Inc,['0001050446'],0001050446,['MSTR'],2020-12-09,2025-02-05,1519,48,34
