accession,filename,form,event_id,entity_name,url,local_path,status,error,bytes,chars,words,tokens_whitespace,pages_approx_500w,content_sha1,n_html_tables,table_word_share,narrative_word_share,metric_source
0001193125-20-011457,d859616dsctot.htm,SC TO-T,005-88347,"Dermira, Inc.",https://www.sec.gov/Archives/edgar/data/1557883/000119312520011457/d859616dsctot.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-011457__d859616dsctot.htm,ok,,69782,13625,2174,2174,4.35,f1316da107886d556023a57e491fd09be78542a1,68,0.4931,0.5069,observed_sample
0001628280-20-000450,dermirasc14d9.htm,SC 14D9,005-88347,"Dermira, Inc.",https://www.sec.gov/Archives/edgar/data/1557883/000162828020000450/dermirasc14d9.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001628280-20-000450__dermirasc14d9.htm,ok,,985178,278732,44390,44390,88.78,7b243a2b844b0cfeae40adbbdb72ed1fd5cb8240,135,0.1718,0.8282,observed_sample
0001104659-20-006066,a20-3486_1sc13e3a.htm,SC 13E3/A,005-82284,Teekay Offshore Partners L.P.,https://www.sec.gov/Archives/edgar/data/1382298/000110465920006066/a20-3486_1sc13e3a.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001104659-20-006066__a20-3486_1sc13e3a.htm,ok,,109291,14390,2171,2171,4.34,b4116caa24415aae07c7d645b20f935494f7e1ac,8,0.205,0.795,observed_sample
0001140361-20-001377,nt10006718x3_sc13e3a.htm,SC 13E3/A,005-82658,Aircastle LTD,https://www.sec.gov/Archives/edgar/data/1362988/000114036120001377/nt10006718x3_sc13e3a.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001140361-20-001377__nt10006718x3_sc13e3a.htm,ok,,179840,36305,5294,5294,10.59,935c354095f1ec47c798be0fac83fb0ea9b98c24,21,0.1012,0.8988,observed_sample
0001193125-20-017140,d878483dsctot.htm,SC TO-T,005-85782,Primo Water Corp,https://www.sec.gov/Archives/edgar/data/1365101/000119312520017140/d878483dsctot.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-017140__d878483dsctot.htm,ok,,40270,13188,2031,2031,4.06,4dd04c51fcdcc8979d3e8af5cc97513a83d866d5,13,0.3949,0.6051,observed_sample
0001193125-20-018554,d11893dsc14d9.htm,SC 14D9,005-86679,InterXion Holding N.V.,https://www.sec.gov/Archives/edgar/data/1500866/000119312520018554/d11893dsc14d9.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-018554__d11893dsc14d9.htm,ok,,783630,357305,54564,54564,109.13,712f6cf3bab2d9a4f9b5fe773a3ea83b5896c245,316,0.3192,0.6808,observed_sample
0001193125-20-017554,d874465dsctot.htm,SC TO-T,005-86679,InterXion Holding N.V.,https://www.sec.gov/Archives/edgar/data/1500866/000119312520017554/d874465dsctot.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-017554__d874465dsctot.htm,ok,,58996,24185,3735,3735,7.47,c453621a33ec4bf9b224538c113ad832a00e687a,30,0.2755,0.7245,observed_sample
0001104659-20-022026,tm207907-2_sc13e3.htm,SC 13E3,005-91422,"Centurium Capital Partners 2018, L.P.",https://www.sec.gov/Archives/edgar/data/1740904/000110465920022026/tm207907-2_sc13e3.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001104659-20-022026__tm207907-2_sc13e3.htm,ok,,362429,136993,22046,22046,44.09,4dc89f557ecbdb2f91c19a02cea09c65188a73c3,56,0.1662,0.8338,observed_sample
0001193125-20-041295,d887828dsc13e3.htm,SC 13E3,005-84817,Changyou.com Ltd,https://www.sec.gov/Archives/edgar/data/1458696/000119312520041295/d887828dsc13e3.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-041295__d887828dsc13e3.htm,ok,,604290,268175,42897,42897,85.79,b97398eebd69615dd1317febd10cb106d7cf443c,215,0.279,0.721,observed_sample
0001104659-20-025370,tm2010783-6_sc13e3.htm,SC 13E3,005-88610,Jumei International Holding Ltd,https://www.sec.gov/Archives/edgar/data/1597680/000110465920025370/tm2010783-6_sc13e3.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001104659-20-025370__tm2010783-6_sc13e3.htm,ok,,150117,41618,6724,6724,13.45,9c32c2736462eaaad2c25b4b58c7a2fb61834f81,84,0.3366,0.6634,observed_sample
